irn,leaid,district,fb_create_date,fb_create_month,fb_create_year,
48751,3904875,"Huber Heights City SD, Montgomery",29,1,2016,
47993,3904799,"Lakewood Local SD, Licking",19,10,2016,
44487,3904448,"New Philadelphia City SD, Tuscarawas",12,1,2016,
44495,3904449,"Niles City SD, Trumbull",12,10,2016,
50575,3910033,"Northwestern Local SD, Wayne",29,9,2016,
44552,3904455,"Norton City SD, Summit",4,5,2016,
44594,3904459,"Oberlin City SD, Lorain",15,3,2016,
46573,3904657,"Olmsted Falls City SD, Cuyahoga",19,8,2016,
45575,3904557,"Paulding Ex Vill SD, Paulding",12,12,2016,
46813,3904681,"Perkins Local SD, Erie",5,8,2016,
47506,3904750,"Ridgemont Local SD, Hardin",2,9,2016,
46078,3904607,"Ripley-Union-Lewis Local SD, Brown",20,9,2016,
49213,3904921,"Rootstown Local SD, Portage",1,12,2016,
48363,3904836,"South Range Local SD, Mahoning",14,10,2016,
50062,3905006,"Springfield Local SD, Summit",4,2,2016,
48652,3904865,"Switzerland Of Ohio Local SD, Monroe",2,11,2016,
49957,3904995,"Tuslaw Local SD, Stark",27,7,2016,
47464,3910001,"Van Buren Local SD, Hancock",11,7,2016,
45062,3904506,"Westlake City SD, Cuyahoga",19,3,2016,
45138,3904513,"Worthington City SD, Franklin",15,1,2016,
49544,3904954,"Zane Trace Local SD, Ross",6,4,2016,
45757,3904575,"Allen East Local SD, Allen",2,5,2017,
43521,3904352,"Athens City SD, Athens",12,10,2017,
48298,3904829,"Austintown Local SD, Mahoning",9,6,2017,
43570,3904357,"Bellaire Local SD, Belmont",5,3,2017,
48306,3904830,"Boardman Local SD, Mahoning",10,4,2017,
43919,3904391,"East Liverpool City SD, Columbiana",20,9,2017,
49841,3904984,"Fairless Local SD, Stark",11,4,2017,
48157,3904815,"Firelands Local SD, Lorain",8,3,2017,
50286,3905028,"Indian Valley Local SD, Tuscarawas",10,4,2017,
49437,3904943,"Lexington Local SD, Richland",13,10,2017,
48009,3904800,"Licking Heights Local SD, Licking",5,9,2017,
45484,3904548,"Mechanicsburg Ex Vill SD, Champaign",27,7,2017,
48629,3904862,"Miami East Local SD, Miami",24,10,2017,
45518,3904551,"Milton-Union Ex Vill SD, Miami",23,5,2017,
49718,3904971,"New Riegel Local SD, Seneca",16,8,2017,
50047,3905004,"Nordonia Hills City SD, Summit",10,4,2017,
48033,3904803,"Northridge Local SD, Licking",31,8,2017,
45781,3904578,"Perry Local SD, Allen",22,8,2017,
50054,3905005,"Revere Local SD, Summit",10,4,2017,
49940,3904994,"Sandy Valley Local SD, Stark",23,2,2017,
44859,3904485,"Struthers City SD, Mahoning",7,9,2017,
44883,3904488,"Tallmadge City SD, Summit",12,4,2017,
44917,3904491,"Toronto City SD, Jefferson",10,3,2017,
50500,3910018,"Warren Local SD, Washington",12,4,2017,
45039,3904503,"Wellsville Local SD, Columbiana",18,4,2017,
48389,3904838,"West Branch Local SD, Mahoning",6,11,2017,
45161,3904516,"Youngstown City SD, Mahoning",13,1,2017,
